"Original XML Dita File","UUID"
"analytics-video-heartbeat-master/src/media-overview.xml","b3cbe240-b94d-42b8-a99c-0280334aaa14"
"analytics-video-heartbeat-master/src/measurement-options.xml","1c773ed8-2c49-4204-9be2-2af302388aff"
"analytics-video-heartbeat-master/src/mm-milestone-tracking.xml","2ba913c2-c0ff-4f92-87d9-926f94d6501d"
"analytics-video-heartbeat-master/src/milestone-overview.xml","2f9ec6bb-8860-4863-98bc-5cffb356ccc5"
"analytics-video-heartbeat-master/src/migrate-ms-to-va.xml","fdc96146-af63-48ce-b938-c0ca70729277"
"analytics-video-heartbeat-master/src/migrate-ms-to-cl.xml","1c8edde5-0ef1-4bc0-a62d-1747f4907f09"
"analytics-video-heartbeat-master/src/cl-in-aa.xml","955f643d-94b8-4977-b545-d1d7e9e7ea6a"
"analytics-video-heartbeat-master/src/cl-impl-guide.xml","83315e73-20ca-4db5-9d43-33daade45a13"
"analytics-video-heartbeat-master/src/intro-to-ava.xml","16a2b16f-f2c1-41de-ad85-1b62fda165f7"
"analytics-video-heartbeat-master/src/prereqs.xml","4c0b37f3-8615-4cc0-b9c9-eeb029067064"
"analytics-video-heartbeat-master/src/implementation-paths.xml","8400c938-e77e-4c88-b23b-5f5977a5316c"
"analytics-video-heartbeat-master/src/client-side-path.xml","ba0496e2-585a-4176-b583-c705726fecc6"
"analytics-video-heartbeat-master/src/launch-path.xml","d6f9daf2-6f61-4475-9a77-94361bdd9d95"
"analytics-video-heartbeat-master/src/primetime-path.xml","3d5a5ebd-b897-40f6-ba75-bba1bae3a081"
"analytics-video-heartbeat-master/src/am-enablement.xml","8a7f9343-ebc3-4087-9d7e-5972640d2455"
"analytics-video-heartbeat-master/src/sdk-implement.xml","04a7fcb3-84dd-4f52-9a82-90a88fc774bb"
"analytics-video-heartbeat-master/src/download-sdks.xml","a619fbb8-693e-4583-8dad-0ff875e715f8"
"analytics-video-heartbeat-master/src/setup.xml","33d3139a-5d12-4224-82ba-8ae3a11dbb15"
"analytics-video-heartbeat-master/src/setup-overview.xml","06fefedb-b0c8-4f7d-90c8-e374cdde1695"
"analytics-video-heartbeat-master/src/set-up-android.xml","3ffe3276-a104-4182-9220-038729e9f3d5"
"analytics-video-heartbeat-master/src/set-up-ios.xml","a1c6be79-a6dc-47b6-93b3-ac7b42f1f3eb"
"analytics-video-heartbeat-master/src/set-up-js.xml","0269d8ad-0af8-4bf1-9d15-e06c2952a005"
"analytics-video-heartbeat-master/src/set-up-chromecast.xml","d664e394-02a2-4985-bbad-be1bcc44fb2b"
"analytics-video-heartbeat-master/src/set-up-roku.xml","904dfda0-4782-41da-b4ab-212e81156633"
"analytics-video-heartbeat-master/src/track-av-playback.xml","49fcde87-76c1-40bb-96ac-a7afc822eee8"
"analytics-video-heartbeat-master/src/track-core-overview.xml","7b8e2f76-bc4e-4721-8933-3e4453b01788"
"analytics-video-heartbeat-master/src/track-core.xml","5ba450aa-36c1-4425-a71c-a5762dc5f748"
"analytics-video-heartbeat-master/src/track-core-android.xml","ab5fab95-76ed-4ae6-aedb-2e66eece7607"
"analytics-video-heartbeat-master/src/track-core-ios.xml","bdc0e05c-4fe5-430e-aee2-f331bc59ac6b"
"analytics-video-heartbeat-master/src/track-core-js.xml","3d6e0ab1-899a-43c3-b632-8276e84345ab"
"analytics-video-heartbeat-master/src/track-core-chromecast.xml","a9fc59d8-a2f4-4889-bdec-55c42a835d06"
"analytics-video-heartbeat-master/src/track-core-roku.xml","a8aa7b3c-2d39-44d7-8ebc-b101d130101f"
"analytics-video-heartbeat-master/src/track-buffering.xml","e5580cc4-3e16-4203-a49e-9e127435b8f1"
"analytics-video-heartbeat-master/src/track-buffering-android.xml","f16ce76d-1db3-4b51-8c98-54cb781f71d7"
"analytics-video-heartbeat-master/src/track-buffering-ios.xml","4f4db23a-489b-4b41-bb6e-393ec64d52a2"
"analytics-video-heartbeat-master/src/track-buffering-js.xml","c380cf2c-7729-4d4a-a4da-581bd94a5896"
"analytics-video-heartbeat-master/src/track-buffering-chromecast.xml","f6fa3a1a-d7de-4293-bd11-ebe9e130badd"
"analytics-video-heartbeat-master/src/track-buffering-roku.xml","6666b270-9aa3-42ff-95a8-f12502022d47"
"analytics-video-heartbeat-master/src/track-seeking.xml","bef026e7-c8e4-4678-9559-08b9f3d056b0"
"analytics-video-heartbeat-master/src/track-seeking-android.xml","65addd99-eebf-4a80-8b4a-d5fbdff8ab06"
"analytics-video-heartbeat-master/src/track-seeking-ios.xml","1d31ae99-384f-4b4d-b557-4018db177349"
"analytics-video-heartbeat-master/src/track-seeking-js.xml","089947fb-8bae-4ae8-b215-53793620efd7"
"analytics-video-heartbeat-master/src/track-seeking-chromecast.xml","8018e6c4-fed9-4de7-9eae-c720da55ad8c"
"analytics-video-heartbeat-master/src/track-seeking-roku.xml","0572252b-397f-4aa2-b4b5-c5346b75244a"
"analytics-video-heartbeat-master/src/impl-std-metadata.xml","9612ce2d-d8a0-483d-8a97-ce77a4414e6f"
"analytics-video-heartbeat-master/src/impl-std-metadata-android.xml","c48b4190-b062-4c4e-9c40-8dde4598a50e"
"analytics-video-heartbeat-master/src/impl-std-metadata-ios.xml","75a80f08-4a95-49d4-a27a-8ce531d64d31"
"analytics-video-heartbeat-master/src/ios-metadata-keys.xml","8eb90111-c9dd-4ca7-9766-91530a8ae6cf"
"analytics-video-heartbeat-master/src/impl-std-metadata-js.xml","523d29e3-0a62-40d7-ac74-da645024cdcb"
